CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	375082	355784	340739	340739	319830	294171	312206	325195	325195	316275	300418	295277	284429	284429	274519	265013	252987	253235	253235	248221	252638	235149	230216	230216	205898	170154	178251	163834	163834	152078	149239	148409	145475	145475	129327	106671	126134	118240	118240	118857	116869	75024	84823	84823	65032	75981	73277	91774	91774	105982	0	0	61456	0	0	0	31857	32082	32068	37505	25361	16663	0	21730	22828	18975	20051	0	16983	22282	36273	26295	21941
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	892	11162	1251	1251	1880	510	26625	1394	1394	2193	679	1061	1034	1034	6557	13891	20513	138792	138792	60827	153605	189764	144990	144990	68501	44833	46044	43815	43815	81951	76565	84751	77565	77565	57215	57857	68194	74095	74095	76389	68058	39459	34990	34990	26835	32657	39342	41522	41522	21011	0	0	30814	0	0	0	8259	10808	10808	19734	3441	2447	0	5098	969	2923	2597	0	4869	5217	6962	7632	2274
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	341260	318780	308380	308380	295586	262206	262700	295300	295300	287650	270379	266529	259216	259216	249016	227500	214250	96750	96750	168550	75050	17250	54250	54250	102700	90500	87500	85500	85500	40000	30200	24000	25000	25000	25500	0	10000	0	0	0	0	0	10000	10000	0	0	0	1500	1500	21500	0	0	0	0	0	0	2500	3000	3000	2000	6000	0	0	2500	4000	0	0	0	0	3500	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	28646	21403	26539	26539	18043	26719	18367	24035	24035	21848	24813	23419	19677	19677	15273	19942	14407	13953	13953	15044	17065	22630	28224	28224	32979	31925	41712	31051	31051	26916	38192	35976	39855	39855	43506	45645	45089	41040	41040	40104	40180	32965	36958	36958	32975	41713	31799	40269	40269	44671	0	0	29185	0	0	0	20478	14594	14594	14452	15205	13378	0	12527	16667	15491	16842	0	11853	13151	28890	18225	19380
Hàng tồn kho###Inventory	4042	4068	4527	4527	4165	4402	4096	4375	4375	4406	4305	3930	4439	4439	3486	3405	3367	3590	3590	3602	6488	4882	2388	2388	1546	2610	2432	3161	3161	2668	3335	2836	2672	2672	2585	2146	2151	2624	2624	2233	2151	2215	2580	2580	2943	1254	1451	1954	1954	1161	0	0	1140	0	0	0	584	449	449	464	658	581	0	543	467	518	304	0	249	340	421	255	283
Tài sản ngắn hạn khác###Other Current Assets	241	370	42	42	156	335	419	91	91	178	241	338	62	62	187	275	450	150	150	199	430	622	364	364	172	285	564	307	307	543	948	846	382	382	521	1024	700	481	481	131	6480	384	294	294	2279	357	686	6528	6528	17639	0	0	317	0	0	0	36	3232	3218	854	57	256	0	1061	724	43	308	0	12	75	0	183	3
Tài sản dài hạn###Non-current Assets	86463	85317	91954	91954	98998	109571	84421	63902	63902	56858	59809	59942	63978	63978	70810	74068	74878	77941	77941	78005	72046	78403	82032	82032	85979	90080	98024	97061	97061	101968	107060	112380	117568	117568	123157	130143	137342	144361	144361	139918	125919	129523	134593	134593	140151	116027	113889	97629	97629	79408	74343	74264	87538	78901	69662	74107	87015	91561	91561	80121	81187	83048	75390	81258	74055	78710	81461	78798	83830	78443	52115	53942	55903
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	1025	1030	1030	1034	1039	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	22449	24500	23714	23714	25636	27680	22959	23753	23753	25948	25351	28205	30923	30923	36735	39040	39021	41331	41331	34713	37889	41555	45117	45117	49243	53370	57320	61445	61377	66303	71396	76796	81601	81601	87493	94501	101610	108594	108663	104227	90299	93932	98835	98904	104543	80431	81731	87488	87556	70885	74343	74264	78901	78901	69662	74107	78508	82961	82961	71525	72616	74545	75390	75390	68513	73184	76454	78798	78798	73416	47105	48935	50846
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-268412	-266393	-264411	-264411	-262408	-260396	-258416	-256541	-256541	-254377	-251614	-248522	-246703	-246703	-240920	-243978	-242507	-240230	-240230	-236726	-233046	-229405	-225759	-225759	-221658	-217790	-213689	-209589	-209589	-204534	-199469	-194113	-189335	-189335	-183469	-178678	-172073	-165053	-165053	-157943	-151512	-145589	-139645	-139645	-132873	-126523	-120598	-114773	-114773	-109369	0	0	-95280	0	0	0	-81764	-77313	-77313	0	0	-65556	0	-62451	-58566	-53864	-50480	0	0	0	-42311	-40263	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1087	-1055	-1023	-1023	-991	-959	-926	-894	-894	-862	-830	-780	-736	-736	-707	-675	-643	-610	-610	-578	-552	-527	-502	-502	-476	-451	-437	-425	-425	-413	-386	-360	-333	-333	-306	-280	-252	-220	-220	-187	-155	-123	-90	-90	-67	-34	-34	-34	-34	-34	0	0	0	0	0	0	-30	-27	-27	0	0	-19	0	-16	-13	-10	-8	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	63911	60749	68020	68020	73120	81631	61212	39810	39810	30509	30585	30585	30585	30585	30585	30585	30585	30585	30585	30585	30585	35585	35585	35585	35585	35585	39585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	35585	32085	10000	10000	8500	0	0	8500	0	0	0	8500	8500	8500	8500	8500	8500	0	5800	5500	5500	5000	0	5000	5000	5000	5000	5000
Tài sản dài hạn khác###Other long term assets	103	68	220	220	242	261	249	340	340	374	454	1022	2192	2192	3195	4149	5149	5546	5546	5480	2199	17	79	79	48	17	7	31	31	11	11	0	382	382	79	57	147	114	114	107	35	7	105	105	23	11	73	73	73	23	0	0	137	0	0	0	8	100	100	96	71	3	0	68	43	26	7	0	32	27	10	7	57
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	461545	441100	432693	432693	418828	403743	396627	389097	389097	373133	360227	355219	348407	348407	345329	339081	327865	331175	331175	326226	324684	313552	312248	312248	291876	260234	276276	260895	260895	254046	256300	260789	263043	263043	252484	236814	263476	262602	262602	258775	242788	204547	219416	219416	205182	192008	187166	189403	189403	185390	160049	158421	148993	148993	152823	139525	118872	123643	123629	117626	106548	99711	102988	102988	96883	97685	101512	100767	100813	100726	88387	80237	77844
Nợ phải trả ###Liabilities	34782	26362	24957	24957	27268	23456	24249	21927	21927	21728	16009	16910	14945	14945	18238	17983	13713	20334	20334	22817	27896	28988	37656	37656	41694	32073	23821	21027	21027	25765	35072	52960	31196	31196	34017	33171	27784	39457	39457	42069	43610	31665	29763	29763	28296	29653	36791	32864	32864	30257	0	0	24794	0	0	0	38321	40097	40331	37286	36539	36582	0	39069	37034	38734	46043	0	46143	48793	36817	31056	25867
Nợ ngắn hạn###Short term Liabilities	34782	26362	24957	24957	27268	23456	24249	21927	21927	21728	16009	16910	14945	14945	18238	17983	13713	20334	20334	22817	27896	28988	37656	37656	41694	32073	23821	21027	21027	25765	35072	52960	31196	31196	34017	33171	27784	39457	39457	41849	43326	31379	29474	29474	28007	29341	36477	32548	32548	29939	0	0	19781	0	0	0	20418	23883	24117	13552	10271	9883	0	12236	7975	8161	10782	0	17313	14042	7344	14477	7128
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	284	286	288	288	289	312	314	316	316	318	0	0	5013	0	0	0	17903	16214	16214	23734	26268	26699	0	26833	29058	30573	35261	0	28830	34751	29472	16578	18739
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	426763	414738	407736	407736	391560	380287	372378	367170	367170	351405	344218	338309	333462	333462	327091	321098	314152	310842	310842	303410	296788	284564	274592	274592	250182	228161	252455	239868	239868	228281	221228	207829	231847	231847	218467	203643	235692	223145	223145	216706	199178	172882	189653	189653	176886	162355	150375	156539	156539	155133	131597	115587	124199	125142	115663	97143	80551	83546	83298	80340	70009	63128	63919	63919	59850	58951	55470	54670	54670	51933	51571	49181	51977
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	956	1133	1588	580	580	595	890	962	0	330	361	735	844	0	154	209	397	413	200
Vốn chủ sở hữu ###Owners equity	426763	414738	407736	407736	391560	380287	372378	367170	367170	351405	344218	338309	333462	333462	327091	321098	314152	310842	310842	303410	296788	284564	274592	274592	250182	228161	252455	239868	239868	228281	221228	207829	231847	231847	218467	203643	235692	223145	223145	216706	199178	172882	189653	189653	176886	162355	150375	156539	156539	155133	131597	115587	124199	125142	115663	97143	78963	82966	82718	79745	69120	62167	63919	63589	59489	58216	54626	54670	54517	51724	51174	48768	51636
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256300	260789	263043	263043	252484	236814	263476	262602	262602	258775	242788	204547	219416	219416	205182	192008	187166	189403	189403	185390	160049	158421	148993	148993	152823	139525	118872	123643	123629	117626	106548	99710	102988	102987	96883	97685	101512	100767	100766	100725	0	80237	77844



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	34005	30561	118551	34515	25591	30157	28288	92321	28945	24385	17326	21665	80433	21307	22010	22254	14862	106429	16085	21827	28141	40378	212246	52881	64973	47930	46461	159537	37537	36310	50768	34923	190113	42561	51155	50357	46041	249348	62777	63964	73199	49407	179809	56446	47955	40508	34900	185769	47156	58829	0	0	151878	0	0	0	27721	98192	26924	28908	28121	14238	73016	18985	20380	18288	15363	52476	14417	13453	11970	12635	50178
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	56	0	0	0
Doanh thu thuần###Net Sales	34005	30561	118551	34515	25591	30157	28288	92321	28945	24385	17326	21665	80433	21307	22010	22254	14862	106429	16085	21827	28141	40378	212246	52881	64973	47930	46461	159537	37537	36310	50768	34923	190113	42561	51155	50357	46041	249348	62777	63964	73199	49407	179809	56446	47955	40508	34900	185769	47156	58829	0	0	151878	0	0	0	27721	98192	26924	28908	28121	14238	73016	18985	20380	18288	15363	52420	14417	13397	11970	12635	50178
