CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	32167	15480	33759	33759	32776	34246	39482	43601	43307	56481	63560	41429	45556	45664	35774	37636	39929	45136	45136	48274	44034	43991	49738	61183	74840	71292	75553	76641	76641	77227	76938	78900	80232	92967	93993	97296	102025	100133	166533	187153	192060	171141	160029	169445	178127	169115	174839	172494	118817	153425	95087	97231	117900	112856	103502	93092	95471	83079	47646	90497	83010	96576	67095	67095	136508	91286	65372	14460	14438	14772	25960	40651	25623
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9492	10205	288	288	92	304	157	1560	1560	285	8612	599	2004	2113	781	2358	496	1143	1143	1544	2438	3974	10619	10919	1897	3140	1217	3095	3395	2774	2981	1650	2354	2654	1004	1664	1134	3907	3907	1626	1455	1990	8454	8454	6993	24027	32306	52540	52540	63473	26140	14568	51866	51866	4952	20536	2984	7077	7071	13739	16434	34164	6469	6469	4749	4109	1680	2779	2779	199	1387	6404	2405
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	300	300	300	300	400	400	300	300	300	300	300	300	300	0	145	445	145	445	145	145	445	245	545	245	776	1176	495	29705	29705	62321	71045	80314	66542	76013	82578	58373	85483	61120	7758	25265	13049	18646	4000	4000	39000	4000	18000	0	0	30636	21901	5901	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	20515	3146	31039	31039	30044	31297	36397	39329	38829	54122	53125	39041	42129	42128	32377	32975	36055	40934	40934	42436	36491	34742	34528	25614	39388	29864	24041	24643	24643	25216	25565	27601	27773	27720	30753	32417	36585	42992	109392	102593	99388	71660	66234	66179	68428	67673	37834	45558	45247	46816	41990	42772	47662	40723	22381	45368	53938	56227	21811	22264	24815	38648	46400	46400	118802	62555	54018	3998	5352	7322	18357	28636	18010
Hàng tồn kho###Inventory	154	294	591	591	710	694	910	850	1057	1713	1230	1191	994	994	1919	1594	2819	2759	2759	3933	4713	4788	4291	15736	25528	34813	44141	43579	43579	44857	44273	45194	45785	58495	56811	56989	58468	21512	21512	17367	16943	15019	17210	17210	17332	16599	16702	12052	12052	16276	11890	11501	11857	13752	34425	21509	17710	17946	17848	21941	17971	15641	13124	13124	10944	22162	7759	6479	6307	7110	5968	5250	4649
Tài sản ngắn hạn khác###Other Current Assets	2006	1835	1842	1842	1930	1951	2019	1861	1861	361	292	298	129	129	297	310	260	0	0	60	92	187	0	8914	7881	3030	6010	4880	4880	4235	3674	4210	3775	3853	4649	5049	5342	2017	2017	3246	3229	2157	1588	1588	2796	2443	2513	1225	1220	1596	2018	9745	2515	2515	2744	1680	2838	1829	916	1917	1888	2221	1103	1103	2013	2460	1916	1204	0	140	247	360	559
Tài sản dài hạn###Non-current Assets	133702	149269	134812	134812	135222	134603	130066	127785	127785	110853	109684	129851	127365	127503	130169	129282	124345	122316	122316	117070	119646	118803	115610	104164	102404	100992	100989	100405	100405	99672	99672	99110	99110	86340	86058	86067	86060	84143	17761	10034	10195	10228	10296	296	422	768	931	1139	54776	16597	25417	32859	4190	4190	4232	6432	8722	23908	60168	31089	30618	29770	7588	7588	5645	7301	6584	6654	6654	6507	6232	6308	6415
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3515	3561	3607	3607	3653	3700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82670	0	0	0	81375	81375	68605	68323	68332	68325	26	26	34	195	226	290	290	413	755	914	1081	1081	1873	2034	2136	2246	2246	2288	4463	4435	4570	4570	4414	3913	3131	3215	3215	3482	3339	2943	3008	3008	3111	3177	3253	3360
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1235	-1188	-1142	-1142	-1096	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1050	-1208	-1208	-1208	-1208	-1208	-1208	-1208	-1208	-1412	-1412	-1412	-1404	-1719	-1711	-1711	-1702	-2041	-2011	-1946	-1946	-1824	-2061	-1892	-1724	-1724	-1556	-1393	-1275	-1166	0	0	0	-1167	-1032	-1032	-897	-803	-1507	-1423	-1423	0	0	-1198	-1133	0	-1170	-1104	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
